case_id,region_id,sector_id,company_id,implementation_status_id,title,summary,detailed_notes,key_effect_note,maturity_level,created_at,source_id
424,20,46,,,Khan Academy AI‑Lesson Builder,"LLM автоматически генерирует упражнения, проверочные задачи и объяснения к любой теме.","Khan Academy Blog 2025, EdTech Digest.",Увеличение охвата контента + 45 %; экономия ≈ $ 200 млрд/год (по сравнению с наймом контент‑мейкеров).,,2025-11-18 17:08:42.091886,
423,20,45,,,Novartis AI‑Clinical‑Trial Protocol Writer,"LLM генерирует протоколы фаз I‑III, снижая время подготовки с 12 мес до ≈ 3 мес.","Novartis Press Release 2025, Reuters.","Сокращение времени выхода новых препаратов - 30 %; экономия ≈ $ 2,5 млрд/год (скорейшее получение лицензий).",,2025-11-18 17:08:42.088685,
422,20,1,,,Toyota AI‑Supply‑Chain Optimizer,"генеративная модель создает динамические планы поставок, учитывая геополитические риски.",Toyota Global Newsroom 2025.,"Сокращение избыточных запасов - 22 %; экономия ≈ $ 1,4 млрд/год.",,2025-11-18 17:08:42.085824,
421,20,44,,,Stripe AI‑Chargeback Dispute Generator,"LLM формирует юридически выверенные ответы на споры, обученный на миллионах кейсов.",Stripe Engineering Update 2025.,Снижение расходов - 40 % (по сравнению с ручным обслуживанием); экономия ≈ $ 500 млн/год.,,2025-11-18 17:08:42.082971,
420,20,48,,,Microsoft Azure AI‑Redteam Generator,"генеративный агент автоматически создаёт сценарии атак (ATT&CK), генерирует отчёты и рекомендации.",Microsoft Security Blog 2025.,"Сокращение подготовительного времени - 70 %; экономия ≈ $ 1,1 млрд/год для корпоративных клиентов.",,2025-11-18 17:08:42.079979,
419,20,51,,,EU AI‑Policy Draft Assistant,"LLM помогает писать законодательные тексты, проверяя их на согласованность с GDPR, CELEX.","Европейская Комиссия, 2025.",Уменьшение времени подготовки законопроектов - 60 %; экономия ≈ € 120 млн/год (человеко‑часов).,,2025-11-18 17:08:42.077197,
418,20,46,,,UNESCO AI‑Learning Path Generator,глобальная платформа (LLM + локальные данные) создает адаптивные учебные траектории для школ в развивающихся странах.,UNESCO 2025 Tech Report.,Повышение завершения курсов + 18 % в пилотных регионах; экономия ≈ $ 300 млрд/год (сокращение затрат на репетиторские программы).,,2025-11-18 17:08:42.074789,
417,20,45,,,Meta Health‑AI for Radiology,генеративные модели создают «synthetic CT»‑сканы для обучения и одновременно генерируют предварительные заключения.,"Meta Health Blog 2025, Radiology AI Conference.",Увеличение количества обучающих данных + 30 %; сокращение времени чтения - 40 %; экономия ≈ $ 850 млрд/год глобально (по сокращению повторных сканов).,,2025-11-18 17:08:42.071386,
416,20,1,,,Siemens AI‑Factory Planner,"LLM генерирует оптимальные планы производства с учётом поставок, спроса, энергопотребления; внедрено в 12 мультинациональных фабрик.","Siemens Press Release 2025, Industry Week.","Сокращение времени планирования - 70 %; экономия ≈ $ 2,3 млрд/год.",,2025-11-18 17:08:42.068363,
415,20,44,,,World Bank AI‑Risk Engine,"глобальная платформа для оценки суверенных кредитных рисков, использующая LLM + RAG к базам IMF, World Bank, Bloomberg.",Сокращение времени анализа - 95 %; экономия ≈ $ 600 млн/год (ресурсы аналитиков).,"Генерирует аналитический отчёт за ≈ 10 мин, заменяя 3‑недельный процесс.",,2025-11-18 17:08:42.066011,
